Epoch,loss,val_loss
169,0.0384,0.041
170,0.0381,0.0406
171,0.0378,0.0405
172,0.0377,0.0404
173,0.0371,0.0402
174,0.0368,0.0397
175,0.0366,0.0395
176,0.0366,0.0393
177,0.0362,0.0392
178,0.0361,0.0388
179,0.0358,0.0387
180,0.0356,0.0383
181,0.0353,0.0382
182,0.035,0.038
183,0.035,0.0378
184,0.0345,0.0375
185,0.0344,0.0373
186,0.0341,0.037
187,0.0338,0.037
188,0.0337,0.0367
189,0.0334,0.0363
190,0.0335,0.0362
191,0.0331,0.0361
192,0.0326,0.0357
193,0.0326,0.0353
194,0.0323,0.0353
195,0.0319,0.0354
196,0.0318,0.0349
197,0.0316,0.0347
198,0.0314,0.0343
199,0.0312,0.0341
200,0.0308,0.0339
201,0.031,0.0339
202,0.0307,0.0337
203,0.0303,0.0334
204,0.0303,0.033
205,0.03,0.0329
206,0.0297,0.0328
207,0.0296,0.0327
208,0.0294,0.0324
209,0.0292,0.0322
210,0.0291,0.0321
211,0.0285,0.032
212,0.0287,0.0318
213,0.0285,0.0317
214,0.0281,0.0313
215,0.028,0.0311
216,0.0279,0.0309
217,0.0277,0.0308
218,0.0275,0.0309
219,0.0276,0.0307
220,0.0273,0.0304
221,0.027,0.0301
222,0.0268,0.0298
223,0.027,0.0302
224,0.0264,0.0297
225,0.0263,0.0296
226,0.0262,0.0293
227,0.0259,0.0292
228,0.0259,0.0288
229,0.0255,0.0287
230,0.0256,0.0286
231,0.0254,0.0284
232,0.0251,0.0285
233,0.0249,0.0283
234,0.0249,0.0279
235,0.0246,0.028
236,0.0245,0.0279
237,0.0243,0.0276
238,0.0242,0.0276
239,0.0241,0.0274
240,0.0238,0.0275
241,0.0235,0.027
242,0.0237,0.027
243,0.0235,0.0269
244,0.0233,0.0266
245,0.0232,0.0264
246,0.0229,0.0266
247,0.0228,0.0266
248,0.0226,0.0262
249,0.0226,0.026
250,0.0224,0.0259
251,0.0223,0.0258
252,0.0221,0.0255
253,0.022,0.0255
254,0.0219,0.0253
255,0.0219,0.0255
256,0.0216,0.0251
257,0.0216,0.0252
258,0.0214,0.0246
259,0.0211,0.0245
260,0.0211,0.0242
261,0.021,0.025
262,0.0209,0.024
263,0.0208,0.025
264,0.0207,0.0238
265,0.0204,0.0239
266,0.0204,0.0236
267,0.0203,0.0238
268,0.0201,0.0235
269,0.0201,0.0232
270,0.0198,0.0232
271,0.0198,0.0232
272,0.0195,0.0232
273,0.0196,0.023
274,0.0194,0.0229
275,0.0193,0.0231
276,0.0192,0.023
277,0.019,0.0225
278,0.019,0.0225
279,0.0188,0.0223
280,0.0188,0.0224
281,0.0188,0.0224
282,0.0185,0.0221
283,0.0181,0.022
284,0.0183,0.022
285,0.0182,0.0216
286,0.018,0.0219
287,0.0178,0.0216
288,0.0178,0.0214
289,0.0178,0.0215
290,0.0177,0.0215
291,0.0177,0.0211
292,0.0175,0.0211
293,0.0173,0.0212
294,0.0174,0.0206
295,0.0172,0.0207
296,0.0172,0.0206
297,0.017,0.0206
298,0.0168,0.0208
299,0.0168,0.0207
300,0.0168,0.0203
301,0.0166,0.0204
302,0.0165,0.02
303,0.0165,0.02
304,0.0165,0.02
305,0.0165,0.0199
306,0.0164,0.0199
307,0.0161,0.0201
308,0.016,0.0199
309,0.0159,0.0196
310,0.0157,0.0199
311,0.0159,0.0196
312,0.0157,0.0195
313,0.0157,0.0195
314,0.0157,0.0191
315,0.0153,0.019
316,0.0154,0.0191
317,0.0152,0.019
318,0.0153,0.0193
319,0.0153,0.019
320,0.015,0.0188
321,0.0151,0.0191
322,0.0149,0.0192
323,0.0148,0.0186
324,0.0146,0.0182
325,0.0144,0.0183
326,0.0144,0.0185
327,0.0145,0.018
328,0.0145,0.0179
329,0.0145,0.018
330,0.0144,0.0179
331,0.0143,0.0177
332,0.0142,0.0178
333,0.0141,0.0179
334,0.014,0.0179
335,0.014,0.0179
336,0.014,0.0179
337,0.0142,0.0176
338,0.014,0.0178
339,0.0137,0.0176
340,0.0139,0.0174
341,0.0137,0.0178
342,0.0137,0.0173
343,0.0134,0.0174
344,0.0135,0.0175
345,0.0135,0.018
346,0.0134,0.0178
347,0.0133,0.0172
348,0.0131,0.0173
349,0.0132,0.0172
350,0.0131,0.0169
351,0.0132,0.0172
352,0.0129,0.017
353,0.0131,0.017
354,0.013,0.0172
355,0.0129,0.017
356,0.0127,0.0169
357,0.0129,0.0166
358,0.0128,0.0167
359,0.0127,0.0169
360,0.0126,0.0165
361,0.0125,0.0171
362,0.0124,0.0168
363,0.0122,0.0166
364,0.0124,0.0165
365,0.0123,0.0165
366,0.0121,0.0165
367,0.0123,0.0162
368,0.0121,0.016
369,0.0121,0.0164
370,0.0121,0.0162
371,0.0121,0.0164
372,0.0121,0.0157
373,0.0118,0.0167
374,0.0118,0.0163
375,0.0119,0.0163
376,0.0117,0.0162
377,0.0118,0.0162
378,0.0118,0.0163
379,0.0117,0.0166
380,0.0119,0.0159
381,0.0117,0.0165
382,0.0116,0.0166
383,0.0115,0.0162
384,0.0117,0.0159
385,0.0114,0.0161
386,0.0115,0.0159
387,0.0113,0.016
388,0.0113,0.0157
389,0.0113,0.0158
390,0.0113,0.0159
391,0.0111,0.0159
392,0.011,0.0157
393,0.011,0.0156
394,0.0111,0.0156
395,0.0113,0.0156
396,0.0109,0.0155
397,0.0111,0.0155
398,0.0108,0.0154
399,0.011,0.0154
400,0.0108,0.0154
401,0.0108,0.0154
402,0.0108,0.0155
403,0.0107,0.0151
404,0.011,0.0156
405,0.0108,0.0152
406,0.0107,0.0157
407,0.0107,0.0149
408,0.0107,0.0146
409,0.0108,0.0153
410,0.0105,0.015
411,0.0108,0.015
412,0.0106,0.0145
413,0.0105,0.0148
414,0.0106,0.0148
415,0.0105,0.015
416,0.0104,0.0144
417,0.0103,0.0148
418,0.0104,0.0151
419,0.0103,0.015
420,0.0103,0.0147
421,0.0105,0.0151
422,0.0102,0.0149
423,0.01,0.015
424,0.0102,0.0146
425,0.0102,0.0147
426,0.0101,0.0147
427,0.0101,0.0149
428,0.0099,0.0151
429,0.01,0.0146
430,0.0101,0.0146
431,0.0099,0.0144
432,0.01,0.0151
433,0.0101,0.0144
434,0.01,0.0144
435,0.01,0.0142
436,0.0099,0.0143
437,0.0098,0.0144
438,0.0099,0.0149
439,0.0097,0.0142
440,0.0098,0.0141
441,0.01,0.014
442,0.0097,0.0147
443,0.0098,0.0146
444,0.0097,0.0148
445,0.0098,0.0143
446,0.0097,0.0143
447,0.0096,0.0139
448,0.0096,0.014
449,0.0096,0.0139
450,0.0095,0.0138
451,0.0096,0.0141
452,0.0097,0.0145
453,0.0097,0.0146
454,0.0096,0.0151
455,0.0097,0.014
456,0.0095,0.0144
457,0.0096,0.0144
458,0.0096,0.0141
459,0.0094,0.014
460,0.0096,0.0141
461,0.0094,0.0143
462,0.0096,0.014
463,0.0095,0.0142
464,0.0093,0.014
465,0.0093,0.0143
466,0.0096,0.014
467,0.0095,0.0142
468,0.0093,0.0142
469,0.0094,0.0142
470,0.0091,0.0141
471,0.0092,0.0136
472,0.0094,0.014
473,0.0092,0.0138
474,0.0091,0.0145
475,0.0092,0.0143
476,0.0093,0.0138
477,0.0094,0.0142
478,0.0091,0.0145
479,0.009,0.0139
480,0.0091,0.0135
481,0.0091,0.0138
482,0.0092,0.0138
483,0.009,0.0139
484,0.0091,0.0141
485,0.0092,0.014
486,0.009,0.0131
487,0.009,0.0137
488,0.0092,0.014
489,0.009,0.0149
490,0.009,0.0137
491,0.0092,0.0137
492,0.009,0.0135
493,0.0089,0.0136
494,0.009,0.0135
495,0.0092,0.0141
496,0.0091,0.0137
497,0.0088,0.0135
498,0.0088,0.0135
499,0.0089,0.0137
500,0.009,0.0134
501,0.0089,0.0134
502,0.0089,0.0136
503,0.0089,0.0136
504,0.0087,0.0136
505,0.009,0.0135
506,0.0088,0.0138
507,0.0089,0.014
508,0.0089,0.0134
509,0.0088,0.0139
510,0.0088,0.0141
511,0.0086,0.0135
512,0.0089,0.0137
513,0.009,0.0143
514,0.0089,0.0139
515,0.0089,0.0136
516,0.0087,0.0134
517,0.0086,0.014
518,0.0086,0.0135
519,0.0089,0.0134
520,0.009,0.0137
521,0.0086,0.0133
522,0.0087,0.0132
523,0.0087,0.0133
524,0.0086,0.0134
525,0.0088,0.0133
526,0.0087,0.0133
527,0.0086,0.0134
528,0.0086,0.0141
529,0.0087,0.0135
530,0.0086,0.0126
531,0.0086,0.0134
532,0.0087,0.0128
533,0.0086,0.0133
534,0.0086,0.0131
535,0.0085,0.0137
536,0.0086,0.0132
537,0.0084,0.0127
538,0.0086,0.0131
539,0.0086,0.0132
540,0.0086,0.0127
541,0.0086,0.0129
542,0.0086,0.0137
543,0.0087,0.0133
544,0.0084,0.0133
545,0.0086,0.0133
546,0.0086,0.0125
547,0.0084,0.0128
548,0.0085,0.0135
549,0.0085,0.0133
550,0.0087,0.0132
551,0.0083,0.0134
552,0.0084,0.0131
553,0.0086,0.0134
554,0.0085,0.013
555,0.0085,0.0128
556,0.0085,0.013
557,0.0086,0.0134
558,0.0084,0.0132
559,0.0083,0.0133
560,0.0082,0.0128
561,0.0084,0.0135
562,0.0083,0.0132
563,0.0084,0.0133
564,0.0084,0.0134
565,0.0085,0.0135
566,0.0083,0.0135
567,0.0083,0.0126
568,0.0083,0.0133
569,0.0084,0.0131
570,0.0084,0.0128
571,0.0083,0.0129
572,0.0085,0.0127
573,0.0083,0.0134
574,0.0083,0.0134
575,0.0081,0.0128
576,0.0084,0.0129
577,0.0083,0.0125
578,0.0083,0.0126
579,0.0082,0.013
580,0.0082,0.0131
581,0.0086,0.013
582,0.0082,0.0136
583,0.0083,0.0129
584,0.0085,0.0126
585,0.0084,0.013
586,0.0083,0.0124
587,0.0083,0.0132
588,0.0083,0.0129
589,0.0084,0.0132
590,0.0083,0.0134
591,0.0081,0.0124
592,0.0081,0.0127
593,0.0083,0.013
594,0.0084,0.0125
595,0.0084,0.0123
596,0.0082,0.0122
597,0.0083,0.0129
598,0.0084,0.013
599,0.008,0.013
600,0.0083,0.0132
601,0.0082,0.0126
602,0.0082,0.0125
603,0.0081,0.0131
604,0.008,0.0132
605,0.0081,0.0123
606,0.0082,0.0127
607,0.008,0.0128
608,0.0081,0.0127
609,0.0082,0.0125
610,0.0082,0.0129
611,0.0082,0.013
612,0.0079,0.0127
613,0.0082,0.0125
614,0.0079,0.0126
615,0.008,0.0123
616,0.0082,0.012
617,0.0081,0.0122
618,0.0082,0.0128
619,0.0081,0.0125
620,0.008,0.0128
621,0.008,0.0125
622,0.0079,0.0122
623,0.0079,0.0128
624,0.0081,0.0124
625,0.0081,0.0131
626,0.0081,0.0125
627,0.0081,0.0132
628,0.0082,0.0129
629,0.0081,0.013
630,0.008,0.0123
631,0.0081,0.0134
632,0.0082,0.0129
633,0.008,0.0129
634,0.008,0.013
635,0.0081,0.0125
636,0.008,0.0132
637,0.0083,0.0131
638,0.0079,0.013
639,0.008,0.0128
640,0.008,0.0138
641,0.0081,0.0132
642,0.0081,0.0125
643,0.008,0.0133
644,0.0078,0.0128
645,0.0078,0.0127
646,0.008,0.0134
647,0.008,0.0135
648,0.008,0.0131
649,0.0081,0.0127
650,0.0081,0.0135
651,0.0078,0.0127
652,0.008,0.0131
653,0.008,0.0137
654,0.0079,0.0133
655,0.008,0.0131
656,0.008,0.0127
657,0.008,0.0133
658,0.008,0.0131
659,0.008,0.013
660,0.0079,0.0128
661,0.0078,0.0126
662,0.0081,0.0124
663,0.0079,0.0128
664,0.0078,0.0123
665,0.0079,0.0129
666,0.008,0.0127
667,0.008,0.0127
668,0.0079,0.0128
669,0.0079,0.0134
670,0.008,0.0124
671,0.0081,0.0125
672,0.0078,0.0126
673,0.0079,0.0125
674,0.0078,0.013
675,0.0078,0.013
676,0.0078,0.0124
677,0.0078,0.0121
678,0.0079,0.0128
679,0.0078,0.013
680,0.0079,0.0122
681,0.0077,0.0124
682,0.0077,0.0131
683,0.0078,0.0126
684,0.0079,0.0128
685,0.0077,0.0124
686,0.0078,0.013
687,0.0079,0.0131
688,0.008,0.0131
689,0.0078,0.0126
690,0.0079,0.0127
691,0.0079,0.0126
692,0.0079,0.0129
693,0.0079,0.013
694,0.0077,0.0127
695,0.0079,0.0124
696,0.0079,0.0129
697,0.0078,0.0135
698,0.0079,0.0136
699,0.008,0.0132
700,0.0077,0.0129
701,0.0079,0.0132
702,0.0078,0.0132
703,0.008,0.0131
704,0.0078,0.0132
705,0.008,0.0138
706,0.0079,0.0129
707,0.0079,0.0126
708,0.0077,0.0131
709,0.0077,0.0133
710,0.0079,0.0133
711,0.0079,0.0135
712,0.0079,0.0128
713,0.0078,0.0127
714,0.0079,0.0132
715,0.008,0.0122
716,0.0077,0.0134
717,0.0077,0.0133
718,0.0078,0.0131
719,0.0077,0.0129
720,0.0077,0.0129
721,0.0078,0.0127
722,0.0076,0.0127
723,0.0077,0.0135
724,0.0078,0.0125
725,0.0077,0.0128
726,0.0077,0.0131
727,0.0077,0.0128
728,0.0078,0.0131
729,0.0078,0.0135
730,0.0076,0.0124
731,0.0078,0.0131
732,0.0075,0.0126
733,0.0078,0.0131
734,0.0078,0.0128
735,0.0077,0.0133
736,0.0078,0.0127
737,0.0076,0.013
738,0.0078,0.0128
739,0.0079,0.0126
740,0.0078,0.0127
741,0.0078,0.0129
742,0.0078,0.013
743,0.0076,0.0133
744,0.0077,0.0132
745,0.0076,0.0133
746,0.0077,0.0129
747,0.0076,0.0127
748,0.0078,0.0132
749,0.0078,0.0131
750,0.0079,0.0135
751,0.0077,0.0127
752,0.0076,0.0129
753,0.0076,0.0126
754,0.0078,0.0131
755,0.0077,0.0132
756,0.0077,0.0134
757,0.0076,0.0129
758,0.0078,0.0128
759,0.0077,0.0127
760,0.0077,0.0129
761,0.0078,0.013
762,0.0076,0.0134
763,0.0076,0.0133
764,0.0076,0.0131
765,0.0075,0.0127
766,0.0077,0.0134
767,0.0076,0.0134
768,0.0077,0.0131
769,0.0075,0.0131
770,0.0078,0.0129
771,0.0077,0.0127
772,0.0078,0.0132
773,0.0078,0.013
774,0.0078,0.0134
775,0.0077,0.0129
776,0.0076,0.0133
777,0.0078,0.0129
778,0.0077,0.0132
779,0.0077,0.0127
780,0.0074,0.0134
781,0.0075,0.0131
782,0.0074,0.0139
783,0.0076,0.0134
784,0.0076,0.0133
785,0.0074,0.013
786,0.0077,0.0126
787,0.0076,0.0131
788,0.0076,0.013
789,0.0074,0.0125
790,0.0076,0.0137
791,0.0077,0.0135
792,0.0077,0.0126
793,0.0075,0.0132
794,0.0076,0.0138
795,0.0076,0.0128
796,0.0075,0.0127
797,0.0076,0.0132
798,0.0077,0.0126
799,0.0076,0.0133
800,0.0077,0.0131
801,0.0076,0.0134
802,0.0077,0.0131
803,0.0077,0.0125
804,0.0077,0.0125
805,0.0074,0.013
806,0.0076,0.0135
807,0.0076,0.0134
808,0.0075,0.0136
809,0.0076,0.013
810,0.0078,0.0136
811,0.0074,0.0124
812,0.0078,0.0128
813,0.0074,0.0126
814,0.0077,0.0133
815,0.0076,0.0132
816,0.0074,0.0128
817,0.0074,0.0128
818,0.0075,0.0125
819,0.0075,0.0126
820,0.0075,0.013
821,0.0075,0.0127
822,0.0075,0.0129
823,0.0075,0.0132
824,0.0075,0.0132
825,0.0076,0.0134
826,0.0075,0.0129
827,0.0075,0.0127
828,0.0074,0.0133
829,0.0075,0.0126
830,0.0076,0.0132
831,0.0076,0.0133
832,0.0076,0.013
833,0.0075,0.0131
834,0.0075,0.0134
835,0.0076,0.013
836,0.0074,0.0135
837,0.0074,0.0131
838,0.0076,0.0135
839,0.0076,0.0128
840,0.0077,0.0126
841,0.0076,0.013
842,0.0075,0.0128
843,0.0076,0.013
844,0.0076,0.0127
845,0.0075,0.0128
846,0.0075,0.0127
847,0.0075,0.0126
848,0.0074,0.0127
849,0.0076,0.0128
850,0.0075,0.0127
851,0.0074,0.0123
852,0.0075,0.0128
853,0.0073,0.0121
854,0.0076,0.0126
855,0.0076,0.0122
856,0.0075,0.0128
857,0.0075,0.0129
858,0.0074,0.0125
859,0.0074,0.0124
860,0.0075,0.0127
861,0.0075,0.0122
862,0.0072,0.0126
863,0.0074,0.0128
864,0.0073,0.0127
865,0.0073,0.0124
866,0.0075,0.0136
867,0.0073,0.0132
868,0.0075,0.0133
869,0.0075,0.0128
870,0.0074,0.0133
871,0.0074,0.0131
872,0.0075,0.0128
873,0.0073,0.0125
874,0.0075,0.0131
875,0.0073,0.0133
876,0.0076,0.0124
877,0.0075,0.0131
878,0.0076,0.0126
879,0.0075,0.0134
880,0.0076,0.0134
881,0.0074,0.0131
882,0.0073,0.0123
883,0.0074,0.0133
884,0.0075,0.0131
885,0.0075,0.0132
886,0.0075,0.0134
887,0.0074,0.0137
888,0.0074,0.0136
889,0.0075,0.0129
890,0.0074,0.0135
891,0.0074,0.0125
892,0.0076,0.0135
893,0.0075,0.0131
894,0.0075,0.0132
895,0.0074,0.0131
896,0.0075,0.013
897,0.0076,0.0141
898,0.0073,0.0128
899,0.0075,0.0127
900,0.0073,0.0125
901,0.0075,0.0134
902,0.0074,0.0129
903,0.0074,0.0128
904,0.0073,0.0132
905,0.0074,0.0131
906,0.0074,0.013
907,0.0073,0.0128
908,0.0072,0.013
909,0.0073,0.0133
910,0.0073,0.0126
911,0.0073,0.0126
912,0.0074,0.0132
913,0.0072,0.0129
914,0.0074,0.0132
915,0.0073,0.0125
916,0.0073,0.0126
917,0.0073,0.0129
918,0.0072,0.0129
919,0.0074,0.0135
920,0.0075,0.0131
921,0.0073,0.0127
922,0.0073,0.0127
923,0.0072,0.0128
924,0.0073,0.0128
925,0.0072,0.0129
926,0.0073,0.0125
927,0.0074,0.0131
928,0.0072,0.0134
929,0.0072,0.0133
930,0.0074,0.0134
931,0.0074,0.0127
932,0.0073,0.0127
933,0.0074,0.0131
934,0.0073,0.0136
935,0.0074,0.0133
936,0.0072,0.013
937,0.0072,0.0131
938,0.0074,0.0128
939,0.0074,0.0129
940,0.0073,0.0128
941,0.0074,0.0132
942,0.0073,0.0123
943,0.0071,0.0124
944,0.0073,0.0124
945,0.0072,0.0126
946,0.0073,0.0125
947,0.0072,0.0127
948,0.0073,0.0127
949,0.0073,0.0131
950,0.0073,0.0128
951,0.0074,0.0141
952,0.0074,0.0129
953,0.0075,0.0127
954,0.0074,0.0126
955,0.0073,0.0138
956,0.0074,0.0128
957,0.0075,0.0131
958,0.0072,0.0129
959,0.0073,0.0126
960,0.0073,0.0127
961,0.0075,0.0129
962,0.0073,0.0126
963,0.0074,0.0123
964,0.0073,0.0124
965,0.0075,0.0131
966,0.0074,0.0127
967,0.0075,0.013
968,0.0075,0.0128
969,0.0075,0.0127
970,0.0074,0.0135
971,0.0073,0.0126
972,0.0071,0.0126
973,0.0072,0.0127
974,0.0073,0.0128
975,0.0072,0.0127
976,0.0075,0.0125
977,0.0073,0.0136
978,0.0074,0.0126
979,0.0073,0.0129
980,0.0073,0.013
981,0.0075,0.0129
982,0.0075,0.0131
983,0.0071,0.0128
984,0.0072,0.0133
985,0.0072,0.0129
986,0.0074,0.0127
987,0.0072,0.0129
988,0.0074,0.0131
989,0.0073,0.0127
990,0.0073,0.0129
991,0.0074,0.0127
992,0.0072,0.0126
993,0.0073,0.0125
994,0.0073,0.0124
995,0.0073,0.0133
996,0.0072,0.0129
997,0.0072,0.0126
998,0.0073,0.0124
999,0.0072,0.0126
1000,0.0071,0.0128
